episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
227,33882,95,pair_016_n3_016_conflict,conflict,1,0,0,12.310000000000002,0.24353166666666665,542112,1626336,18925,102,801359,0,0,0,0,0.0,0,0,0,0,0,0,33882,102,399,102,0.0005967903148465804,4171,0,0,0
228,34020,138,pair_017_n3_017_conflict,conflict,1,0,0,11.88,0.24330166666666664,544320,1632960,18996,103,804677,0,0,0,0,0.0,0,0,0,0,0,0,34020,103,403,103,0.0005943694722995836,4204,0,0,0
229,34110,90,pair_003_n3_003_conflict,conflict,0,1,0,1.3100000000000014,0.24315166666666665,545760,1637280,19056,103,806903,0,0,0,0,0.0,0,0,0,0,0,0,34110,103,403,103,0.0005928012151167352,4212,0,0,0
230,34221,111,pair_005_n5_005_control,control,1,0,0,12.150000000000002,0.24296666666666666,547536,1642608,19136,103,809665,0,0,0,0,0.0,0,0,0,0,0,0,34221,103,403,103,0.0005908783918538861,4227,0,0,0
231,34311,90,pair_000_n5_000_control,control,1,0,0,12.360000000000001,0.24281666666666665,548976,1646928,19200,103,811955,0,0,0,0,0.0,0,0,0,0,0,0,34311,103,403,103,0.0005893284791358991,4241,0,0,0
232,34403,92,pair_000_n3_000_control,control,1,0,0,12.340000000000002,0.24266333333333331,550448,1651344,19244,103,814182,0,0,0,0,0.0,0,0,0,0,0,0,34403,103,403,103,0.0005877525055266062,4262,0,0,0
233,34510,107,pair_003_n5_003_conflict,conflict,1,0,0,12.190000000000001,0.242485,552160,1656480,19274,103,816876,0,0,0,0,0.0,0,0,0,0,0,0,34510,103,403,103,0.0005859301491634841,4273,0,0,0
234,34597,87,pair_002_n3_002_conflict,conflict,1,0,0,12.39,0.24234,553552,1660656,19318,104,819073,0,0,0,0,0.0,0,0,0,0,0,0,34597,104,407,104,0.0005844567288386807,4287,0,0,0
235,34688,91,pair_008_n3_008_control,control,1,0,0,12.350000000000001,0.24218833333333334,555008,1665024,19339,104,821297,0,0,0,0,0.0,0,0,0,0,0,0,34688,104,407,104,0.0005829234734672462,4291,0,0,0
236,34761,73,pair_014_n5_014_conflict,conflict,1,0,0,12.530000000000001,0.24206666666666665,556176,1668528,19377,105,823060,0,0,0,0,0.0,0,0,0,0,0,0,34761,105,411,105,0.0005816993023109759,4303,0,0,0
237,34849,88,pair_006_n3_006_conflict,conflict,1,0,0,12.380000000000003,0.24192,557584,1672752,19428,106,825180,0,0,0,0,0.0,0,0,0,0,0,0,34849,106,415,106,0.0005802304068303778,4316,0,0,0
238,34945,96,pair_015_n5_015_conflict,conflict,1,0,0,12.3,0.24175999999999997,559120,1677360,19501,107,827538,0,0,0,0,0.0,0,0,0,0,0,0,34945,107,419,107,0.0005786364128668432,4326,0,0,0
239,35061,116,pair_014_n5_014_control,control,1,0,0,12.100000000000001,0.24156666666666665,560976,1682928,19593,107,830352,0,0,0,0,0.0,0,0,0,0,0,0,35061,107,419,107,0.0005767219830475981,4344,0,0,0
