phase,completed_at,map_id,method,seed,status,replay_schedule,validation_conflict_auc,test_conflict_safe_success,test_conflict_dynamic_collision,test_conflict_timeout,static_safe_success,config_sha256,manifest_sha256,code_sha256,fork_sha256,result_path
01_2026-09-17_to_21_replay_baselines,2026-09-17 23:56:58,irregular_workcell_91702,fixed_25,1,complete,fixed,0.9625,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,0b70329be69ea8ac625f81e63a7c1029d50ec320cd3dab2179d56ea011611614,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_25\seed_1\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 00:26:32,irregular_workcell_91702,fixed_00,2,complete,fixed,0.525,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,b64e77a174563e8e6aceedcb9d14d505726b2d654fcae9c6fdcd2b838dad7315,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_00\seed_2\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 00:48:56,irregular_workcell_91702,fixed_10,2,complete,fixed,0.9666666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,b64e77a174563e8e6aceedcb9d14d505726b2d654fcae9c6fdcd2b838dad7315,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_10\seed_2\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 01:11:18,irregular_workcell_91702,fixed_25,2,complete,fixed,0.9166666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,b64e77a174563e8e6aceedcb9d14d505726b2d654fcae9c6fdcd2b838dad7315,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_25\seed_2\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 01:43:39,irregular_workcell_91702,fixed_00,3,complete,fixed,0.9708333333333334,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,88d41ef0345464517d3aa6d63e56c2a5c6641996d4fd4e4c733efaa80f2b6d3a,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_00\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 02:05:53,irregular_workcell_91702,fixed_10,3,complete,fixed,0.9791666666666667,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,88d41ef0345464517d3aa6d63e56c2a5c6641996d4fd4e4c733efaa80f2b6d3a,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_10\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 02:28:17,irregular_workcell_91702,fixed_25,3,complete,fixed,0.9291666666666666,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,88d41ef0345464517d3aa6d63e56c2a5c6641996d4fd4e4c733efaa80f2b6d3a,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_25\seed_3\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 02:56:35,irregular_workcell_91702,fixed_00,4,complete,fixed,0.9625,1.0,0.0,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,24f44eb99f80a0f061660ce8510d34491e7e1546f4cb10d174878ac3d5b65801,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_00\seed_4\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 03:18:56,irregular_workcell_91702,fixed_10,4,complete,fixed,0.9708333333333333,0.9166666666666666,0.08333333333333333,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,24f44eb99f80a0f061660ce8510d34491e7e1546f4cb10d174878ac3d5b65801,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_10\seed_4\result.json
01_2026-09-17_to_21_replay_baselines,2026-09-18 03:41:27,irregular_workcell_91702,fixed_25,4,complete,fixed,0.9291666666666666,0.9166666666666666,0.08333333333333333,0.0,1,252d1bf9bca82f3d28f87da1490e9d166d4a85747afab7e4f4a41d4de0e20e3a,1b46ad5986c0f735a2f0db5da9442c8ee2f8527542f2fb4c1573a986a483b473,34f7ef45095285f1f0eb8381d9998d68fc3584664019666c4be1323ae5aa2ed8,24f44eb99f80a0f061660ce8510d34491e7e1546f4cb10d174878ac3d5b65801,01_2026-09-17_to_21_replay_baselines\runs\irregular_workcell_91702\fixed_25\seed_4\result.json
