map_index,seed,fraction,effective_fraction,auc_conflict_safe_success,final_validation_conflict_safe_success,test_conflict_safe_success,auc_conflict_dynamic_collision,final_validation_conflict_dynamic_collision,test_conflict_dynamic_collision,auc_conflict_timeout,final_validation_conflict_timeout,test_conflict_timeout,auc_control_safe_success,final_validation_control_safe_success,test_control_safe_success,auc_control_dynamic_collision,final_validation_control_dynamic_collision,test_control_dynamic_collision,auc_control_timeout,final_validation_control_timeout,test_control_timeout,auc_static_safe_success,threshold_confirmation_step
1,1,0.25,0.25,0.9625,1.0,1.0,0.03749999999999999,0.0,0.0,0.0,0.0,0.0,0.975,1.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,1.0,50000
1,2,0.0,0.0,0.525,1.0,1.0,0.016666666666666666,0.0,0.0,0.45833333333333337,0.0,0.0,0.5416666666666667,1.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.45833333333333326,0.0,0.0,0.55,10000
1,2,0.1,0.09375,0.9666666666666667,1.0,1.0,0.025,0.0,0.0,0.008333333333333333,0.0,0.0,0.9666666666666667,1.0,1.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,1.0,10000
1,2,0.25,0.25,0.9166666666666667,1.0,1.0,0.024999999999999994,0.0,0.0,0.05833333333333333,0.0,0.0,0.9249999999999998,1.0,1.0,0.024999999999999994,0.0,0.0,0.04999999999999999,0.0,0.0,0.95,60000
1,3,0.0,0.0,0.9708333333333334,1.0,1.0,0.0125,0.0,0.0,0.016666666666666666,0.0,0.0,0.9916666666666667,1.0,1.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,1.0,30000
1,3,0.1,0.09375,0.9791666666666667,1.0,1.0,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.975,1.0,1.0,0.024999999999999994,0.0,0.0,0.0,0.0,0.0,1.0,20000
1,3,0.25,0.25,0.9291666666666666,1.0,1.0,0.02083333333333333,0.0,0.0,0.05000000000000001,0.0,0.0,0.95,1.0,0.9166666666666666,0.008333333333333333,0.0,0.08333333333333333,0.04166666666666667,0.0,0.0,0.95,30000
1,4,0.0,0.0,0.9625,1.0,1.0,0.029166666666666664,0.0,0.0,0.008333333333333333,0.0,0.0,0.9708333333333334,1.0,0.9166666666666666,0.0125,0.0,0.0,0.016666666666666666,0.0,0.08333333333333333,1.0,40000
1,4,0.1,0.09375,0.9708333333333333,1.0,0.9166666666666666,0.02916666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.9875,1.0,1.0,0.0125,0.0,0.0,0.0,0.0,0.0,1.0,20000
1,4,0.25,0.25,0.9291666666666666,1.0,0.9166666666666666,0.004166666666666667,0.0,0.08333333333333333,0.06666666666666667,0.0,0.0,0.8916666666666667,0.8333333333333334,1.0,0.03333333333333333,0.16666666666666666,0.0,0.075,0.0,0.0,0.9,20000
