episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress
1345,113482,74,pair_007_n3_007_conflict,conflict,1,0,0,12.520000000000001,0.11086499999999999,1815712,5447136,60782,546,2822700,0,0,0,0.0
1346,113566,84,pair_000_n5_000_control,control,1,0,0,12.420000000000002,0.11072499999999999,1817056,5451168,60810,546,2824496,0,0,0,0.0
1347,113657,91,pair_012_n5_012_conflict,conflict,1,0,0,12.350000000000001,0.11057333333333333,1818512,5455536,60839,546,2826406,0,0,0,0.0
1348,113737,80,pair_017_n3_017_control,control,1,0,0,12.46,0.11043999999999998,1819792,5459376,60857,546,2828099,0,0,0,0.0
1349,113821,84,pair_001_n5_001_control,control,1,0,0,12.420000000000002,0.11029999999999998,1821136,5463408,60875,546,2829938,0,0,0,0.0
1350,113896,75,pair_009_n3_009_conflict,conflict,1,0,0,12.510000000000002,0.110175,1822336,5467008,60916,546,2831508,0,0,0,0.0
1351,113972,76,pair_017_n5_017_conflict,conflict,1,0,0,12.500000000000002,0.11004833333333333,1823552,5470656,60981,547,2833082,0,0,0,0.0
1352,114054,82,pair_016_n3_016_conflict,conflict,1,0,0,12.440000000000001,0.10991166666666666,1824864,5474592,61033,548,2834785,0,0,0,0.0
1353,114134,80,pair_015_n5_015_conflict,conflict,1,0,0,12.46,0.10977833333333331,1826144,5478432,61090,549,2836432,0,0,0,0.0
1354,114208,74,pair_017_n3_017_conflict,conflict,1,0,0,12.520000000000001,0.109655,1827328,5481984,61131,549,2838004,0,0,0,0.0
1355,114281,73,pair_015_n3_015_control,control,1,0,0,12.530000000000001,0.10953333333333332,1828496,5485488,61150,549,2839590,0,0,0,0.0
1356,114350,69,pair_015_n5_015_control,control,1,0,0,12.570000000000002,0.10941833333333331,1829600,5488800,61181,549,2841064,0,0,0,0.0
1357,114421,71,pair_001_n3_001_conflict,conflict,1,0,0,12.55,0.10929999999999998,1830736,5492208,61191,549,2842611,0,0,0,0.0
1358,114496,75,pair_009_n5_009_conflict,conflict,1,0,0,12.510000000000002,0.109175,1831936,5495808,61252,550,2844188,0,0,0,0.0
