episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
523,48817,89,pair_006_n3_006_control,control,1,0,0,12.370000000000001,0.21864,781072,2343216,24394,278,1081465,0,0,0,0.0,668,668,0,0,60,608,0,668,29
524,48900,83,pair_003_n3_003_control,control,1,0,0,12.430000000000001,0.21850166666666665,782400,2347200,24405,278,1083174,0,0,0,0.0,668,668,0,0,60,608,0,668,29
525,48977,77,pair_005_n5_005_control,control,1,0,0,12.490000000000002,0.2183733333333333,783632,2350896,24445,279,1084778,0,0,0,0.0,668,668,0,0,60,608,0,668,29
526,49057,80,pair_016_n3_016_conflict,conflict,1,0,0,12.46,0.21824,784912,2354736,24476,279,1086440,0,0,0,0.0,669,669,0,0,61,608,0,669,29
527,49149,92,pair_005_n3_005_conflict,conflict,1,0,0,12.340000000000002,0.21808666666666665,786384,2359152,24527,280,1088342,0,0,0,0.0,670,670,0,0,61,609,0,670,29
528,49230,81,pair_009_n5_009_control,control,1,0,0,12.450000000000003,0.21795166666666665,787680,2363040,24582,280,1090032,0,0,0,0.0,672,672,0,0,62,610,0,672,29
529,49308,78,pair_012_n5_012_control,control,1,0,0,12.480000000000002,0.21782166666666664,788928,2366784,24635,280,1091674,0,0,0,0.0,675,675,0,0,63,612,0,675,29
530,49407,99,pair_001_n5_001_conflict,conflict,1,0,0,12.270000000000001,0.21765666666666666,790512,2371536,24699,283,1093724,0,0,0,0.0,678,678,0,0,63,615,0,678,29
531,49495,88,pair_008_n3_008_control,control,1,0,0,12.380000000000003,0.21750999999999998,791920,2375760,24745,283,1095585,0,0,0,0.0,678,678,0,0,63,615,0,678,29
532,49582,87,pair_017_n5_017_conflict,conflict,1,0,0,12.39,0.21736499999999997,793312,2379936,24787,287,1097416,0,0,0,0.0,681,681,0,0,63,618,0,681,29
533,49665,83,pair_014_n3_014_conflict,conflict,1,0,0,12.430000000000001,0.21722666666666665,794640,2383920,24827,287,1099148,0,0,0,0.0,683,683,0,0,64,619,0,683,29
534,49761,96,pair_002_n5_002_control,control,1,0,0,12.3,0.21706666666666666,796176,2388528,24883,289,1101164,0,0,0,0.0,687,687,0,0,64,623,0,687,29
535,49846,85,pair_008_n5_008_control,control,1,0,0,12.410000000000002,0.21692499999999998,797536,2392608,24937,289,1102985,0,0,0,0.0,688,688,0,0,65,623,0,688,29
536,49924,78,pair_004_n3_004_control,control,1,0,0,12.48,0.216795,798784,2396352,24963,289,1104618,0,0,0,0.0,688,688,0,0,65,623,0,688,29
537,50010,86,pair_004_n3_004_conflict,conflict,1,0,0,12.400000000000002,0.21665166666666666,800060,2400580,24985,289,1106451,0,0,0,0.0,688,688,0,0,65,623,0,688,29
538,50091,81,pair_016_n5_016_control,control,1,0,0,12.450000000000001,0.21651666666666664,800546,2405278,25042,289,1108429,0,0,0,0.0,690,690,0,0,65,625,0,690,29
539,50173,82,pair_012_n3_012_control,control,1,0,0,12.440000000000001,0.21638,801038,2410034,25072,289,1110469,0,0,0,0.0,691,691,0,0,66,625,0,691,29
540,50274,101,pair_012_n5_012_conflict,conflict,1,0,0,12.250000000000002,0.21621166666666664,801644,2415892,25105,289,1112978,0,0,0,0.0,691,691,0,0,66,625,0,691,29
541,50362,88,pair_002_n5_002_conflict,conflict,1,0,0,12.380000000000003,0.216065,802172,2420996,25134,289,1115197,0,0,0,0.0,691,691,0,0,66,625,0,691,29
542,50449,87,pair_017_n5_017_control,control,1,0,0,12.39,0.21592,802694,2426042,25166,289,1117387,0,0,0,0.0,691,691,0,0,66,625,0,691,29
543,50539,90,pair_015_n5_015_control,control,1,0,0,12.360000000000001,0.21577,803234,2431262,25188,289,1119645,0,0,0,0.0,691,691,0,0,66,625,0,691,29
544,50635,96,pair_014_n5_014_control,control,1,0,0,12.3,0.21560999999999997,803810,2436830,25228,289,1122017,0,0,0,0.0,691,691,0,0,66,625,0,691,29
545,50715,80,pair_009_n5_009_conflict,conflict,1,0,0,12.46,0.21547666666666665,804290,2441470,25262,289,1124016,0,0,0,0.0,691,691,0,0,66,625,0,691,29
546,50794,79,pair_011_n3_011_conflict,conflict,1,0,0,12.470000000000002,0.215345,804764,2446052,25274,289,1125880,0,0,0,0.0,691,691,0,0,66,625,0,691,29
547,50877,83,pair_017_n3_017_control,control,1,0,0,12.430000000000001,0.21520666666666666,805262,2450866,25306,289,1127883,0,0,0,0.0,691,691,0,0,66,625,0,691,29
548,50962,85,pair_013_n5_013_conflict,conflict,1,0,0,12.410000000000002,0.215065,805772,2455796,25323,289,1130056,0,0,0,0.0,691,691,0,0,66,625,0,691,29
549,51057,95,pair_015_n5_015_conflict,conflict,1,0,0,12.310000000000002,0.21490666666666663,806342,2461306,25354,289,1132410,0,0,0,0.0,691,691,0,0,66,625,0,691,29
550,51147,90,pair_004_n5_004_conflict,conflict,1,0,0,12.360000000000001,0.21475666666666665,806882,2466526,25385,289,1134650,0,0,0,0.0,691,691,0,0,66,625,0,691,29
551,51229,82,pair_002_n3_002_control,control,1,0,0,12.440000000000001,0.21461999999999998,807374,2471282,25408,289,1136740,0,0,0,0.0,691,691,0,0,66,625,0,691,29
552,51318,89,pair_012_n3_012_conflict,conflict,1,0,0,12.370000000000001,0.21447166666666667,807908,2476444,25449,290,1138974,0,0,0,0.0,692,692,0,0,66,626,0,692,29
553,51424,106,pair_003_n5_003_conflict,conflict,1,0,0,12.200000000000001,0.21429499999999999,808544,2482592,25467,290,1141532,0,0,0,0.0,692,692,0,0,66,626,0,692,29
