episode,environment_steps,episode_steps,scenario_id,condition,success,collision,budget_cutoff,return,epsilon,demo_samples_cumulative,online_samples_cumulative,visible_dynamic_steps_cumulative,reference_risk_steps_cumulative,sampled_visible_dynamic_cumulative,risk_samples_cumulative,risk_buffer_size,risk_marked_total,risk_coverage_count,handover_progress,proposed_risk_steps_cumulative,intervention_steps_cumulative,teacher_fallback_steps_cumulative,teacher_unavailable_steps_cumulative,teacher_cache_hits_cumulative,teacher_planner_calls_cumulative,action_margin_candidate_steps_cumulative,action_margin_labeled_steps_cumulative,action_margin_safe_labels_cumulative,action_margin_blocked_labels_cumulative,action_margin_mean_loss,action_margin_batch_items_cumulative,safe_samples_cumulative,safe_buffer_size,safe_coverage_count
39,6097,8,pair_015_n5_015_control,control,0,1,0,-0.9199999999999999,0.28984,97552,292656,3547,62,49334,0,0,0,0,0.0,0,0,0,0,0,0,6097,257,924,269,0.01851153343456388,3711,0,0,0
40,6140,43,pair_016_n3_016_control,control,0,1,0,-0.8700000000000002,0.2897683333333333,98240,294720,3590,71,50150,0,0,0,0,0.0,0,0,0,0,0,0,6140,271,970,284,0.018392707985512614,3770,0,0,0
41,6172,32,pair_012_n5_012_control,control,0,1,0,-1.11,0.289715,98752,296256,3622,71,50805,0,0,0,0,0.0,0,0,0,0,0,0,6172,282,1009,295,0.018316288233449628,3827,0,0,0
42,6179,7,pair_012_n3_012_conflict,conflict,0,1,0,-0.9099999999999999,0.2897033333333333,98864,296592,3629,71,50954,0,0,0,0,0.0,0,0,0,0,0,0,6179,283,1013,296,0.018295538271055366,3839,0,0,0
43,6479,300,pair_009_n3_009_control,control,0,0,0,-2.4000000000000012,0.2892033333333333,103664,310992,3921,72,57180,0,0,0,0,0.0,0,0,0,0,0,0,6479,298,1069,311,0.01786815322315538,4343,0,0,0
44,6510,31,pair_009_n3_009_conflict,conflict,0,1,0,-1.1,0.28915166666666664,104160,312480,3952,73,57853,0,0,0,0,0.0,0,0,0,0,0,0,6510,307,1102,320,0.01781173542697346,4393,0,0,0
45,6517,7,pair_014_n3_014_control,control,0,1,0,-0.86,0.28914,104272,312816,3959,73,58002,0,0,0,0,0.0,0,0,0,0,0,0,6517,309,1109,322,0.017804790216131378,4403,0,0,0
46,6556,39,pair_015_n3_015_control,control,0,1,0,-1.23,0.28907499999999997,104896,314688,3998,73,58831,0,0,0,0,0.0,0,0,0,0,0,0,6556,323,1161,336,0.01769887398391217,4474,0,0,0
47,6562,6,pair_017_n5_017_control,control,0,1,0,-0.9,0.289065,104992,314976,4004,73,58960,0,0,0,0,0.0,0,0,0,0,0,0,6562,324,1165,337,0.01769230262981614,4492,0,0,0
48,6862,300,pair_010_n5_010_conflict,conflict,0,0,0,0.09999999999999937,0.28856499999999996,109792,329376,4291,73,65810,0,0,0,0,0.0,0,0,0,0,0,0,6862,334,1205,347,0.017135578280639042,5032,0,0,0
49,6972,110,pair_017_n3_017_control,control,0,1,0,-1.5400000000000005,0.28838166666666665,111552,334656,4401,83,68466,0,0,0,0,0.0,0,0,0,0,0,0,6972,354,1272,368,0.016914160668851146,5240,0,0,0
50,7048,76,pair_013_n5_013_control,control,0,1,0,-1.2,0.288255,112768,338304,4477,88,70264,0,0,0,0,0.0,0,0,0,0,0,0,7048,370,1326,384,0.016763878686232126,5404,0,0,0
51,7123,75,pair_015_n5_015_conflict,conflict,0,1,0,-1.0899999999999999,0.28813,113968,341904,4552,95,72108,0,0,0,0,0.0,0,0,0,0,0,0,7123,388,1386,403,0.016681035568413487,5552,0,0,0
52,7139,16,pair_014_n5_014_control,control,0,1,0,-1.0,0.2881033333333333,114224,342672,4568,95,72519,0,0,0,0,0.0,0,0,0,0,0,0,7139,392,1400,407,0.016689848272405286,5589,0,0,0
53,7439,300,pair_002_n5_002_control,control,0,0,0,0.14999999999999958,0.2876033333333333,119024,357072,4799,96,80295,0,0,0,0,0.0,0,0,0,0,0,0,7439,404,1442,419,0.016074732745437238,6221,0,0,0
54,7462,23,pair_009_n5_009_conflict,conflict,0,1,0,-1.07,0.287565,119392,358176,4822,96,80895,0,0,0,0,0.0,0,0,0,0,0,0,7462,411,1466,426,0.01603049311844115,6275,0,0,0
55,7501,39,pair_000_n5_000_control,control,0,1,0,-0.7300000000000002,0.2875,120016,360048,4861,98,81936,0,0,0,0,0.0,0,0,0,0,0,0,7501,415,1480,430,0.015983991187037656,6373,0,0,0
56,7552,51,pair_016_n5_016_conflict,conflict,0,1,0,-0.95,0.287415,120832,362496,4912,100,83307,0,0,0,0,0.0,0,0,0,0,0,0,7552,428,1526,443,0.01587624088118654,6504,0,0,0
57,7852,300,pair_011_n3_011_control,control,0,0,0,-2.350000000000001,0.286915,125632,376896,4912,100,91510,0,0,0,0,0.0,0,0,0,0,0,0,7852,428,1526,443,0.015403964936660183,7212,0,0,0
58,8152,300,pair_001_n5_001_control,control,0,0,0,-2.3999999999999964,0.286415,130432,391296,5204,100,99851,0,0,0,0,0.0,0,0,0,0,0,0,8152,428,1526,443,0.014965609125349711,7910,0,0,0
59,8396,244,pair_014_n3_014_conflict,conflict,0,1,0,-2.8800000000000017,0.2860083333333333,134336,403008,5448,116,107076,0,0,0,0,0.0,0,0,0,0,0,0,8396,459,1627,475,0.014535512586056355,8496,0,0,0
60,8441,45,pair_013_n3_013_control,control,0,1,0,-0.7900000000000003,0.2859333333333333,135056,405168,5493,116,108430,0,0,0,0,0.0,0,0,0,0,0,0,8441,464,1646,480,0.014460086351497318,8629,0,0,0
61,8741,300,pair_007_n5_007_conflict,conflict,0,0,0,-1.7,0.2854333333333333,139856,419568,5777,116,117748,0,0,0,0,0.0,0,0,0,0,0,0,8741,469,1662,485,0.013982392217334019,9414,0,0,0
62,9041,300,pair_008_n5_008_conflict,conflict,0,0,0,-2.4000000000000012,0.2849333333333333,144656,433968,6068,116,127544,0,0,0,0,0.0,0,0,0,0,0,0,9041,471,1669,487,0.013588422712542663,10184,0,0,0
63,9341,300,pair_008_n3_008_control,control,0,0,0,-2.5,0.2844333333333333,149456,448368,6124,116,137405,0,0,0,0,0.0,0,0,0,0,0,0,9341,471,1669,487,0.013172143310525596,10914,0,0,0
64,9491,150,pair_003_n5_003_control,control,0,1,0,-1.790000000000001,0.28418333333333334,151856,455568,6204,116,142284,0,0,0,0,0.0,0,0,0,0,0,0,9491,484,1710,502,0.012974036186191862,11292,0,0,0
65,9791,300,pair_017_n3_017_conflict,conflict,0,0,0,-1.2500000000000009,0.28368333333333334,156656,469968,6370,116,152433,0,0,0,0,0.0,0,0,0,0,0,0,9791,484,1710,502,0.012660480394591323,12152,0,0,0
66,10091,300,pair_006_n5_006_conflict,conflict,0,0,0,-1.7500000000000016,0.28318333333333334,161456,484368,6426,116,162554,0,0,0,0,0.0,0,0,0,0,0,0,10091,484,1710,502,0.012297663455573548,12909,0,0,0
67,10112,21,pair_002_n3_002_conflict,conflict,0,1,0,-0.95,0.28314833333333334,161792,485376,6447,117,163242,0,0,0,0,0.0,0,0,0,0,0,0,10112,489,1727,508,0.012272781685576578,12960,0,0,0
68,10412,300,pair_009_n5_009_control,control,0,0,0,-1.300000000000001,0.28264833333333333,166592,499776,6606,117,173340,0,0,0,0,0.0,0,0,0,0,0,0,10412,489,1727,508,0.011936214657719163,13737,0,0,0
69,10418,6,pair_004_n3_004_conflict,conflict,0,1,0,-0.8,0.2826383333333333,166688,500064,6612,118,173537,0,0,0,0,0.0,0,0,0,0,0,0,10418,492,1738,512,0.01192934027799692,13761,0,0,0
70,10527,109,pair_005_n5_005_control,control,0,1,0,-1.4300000000000006,0.28245666666666663,168432,505296,6699,123,177199,0,0,0,0,0.0,0,0,0,0,0,0,10527,503,1778,523,0.011807383060169907,14044,0,0,0
71,10827,300,pair_013_n3_013_conflict,conflict,0,0,0,0.09999999999999923,0.28195666666666663,173232,519696,6905,124,187296,0,0,0,0,0.0,0,0,0,0,0,0,10827,506,1789,526,0.011537586345004687,14815,0,0,0
72,11127,300,pair_011_n3_011_control,control,0,0,0,-0.35000000000000075,0.28145666666666663,178032,534096,6981,124,197178,0,0,0,0,0.0,0,0,0,0,0,0,11127,506,1789,526,0.01131770026270884,15570,0,0,0
73,11427,300,pair_010_n3_010_conflict,conflict,0,0,0,-2.349999999999999,0.28095666666666663,182832,548496,7171,124,206869,0,0,0,0,0.0,0,0,0,0,0,0,11427,506,1789,526,0.011039287083912566,16282,0,0,0
74,11524,97,pair_003_n5_003_conflict,conflict,0,1,0,-1.2600000000000002,0.280795,184384,553152,7255,124,210005,0,0,0,0,0.0,0,0,0,0,0,0,11524,516,1821,536,0.010973605595206614,16498,0,0,0
75,11824,300,pair_008_n5_008_conflict,conflict,0,0,0,-0.40000000000000097,0.28029499999999996,189184,567552,7411,124,219923,0,0,0,0,0.0,0,0,0,0,0,0,11824,518,1826,539,0.010756418968737524,17160,0,0,0
76,12124,300,pair_010_n5_010_control,control,0,0,0,-2.4000000000000004,0.279795,193984,581952,7655,124,229845,0,0,0,0,0.0,0,0,0,0,0,0,12124,518,1826,539,0.010587129330164976,17809,0,0,0
77,12361,237,pair_002_n5_002_control,control,0,1,0,-0.21000000000000052,0.2794,197776,593328,7745,125,237680,0,0,0,0,0.0,0,0,0,0,0,0,12361,535,1886,557,0.010461206237871024,18270,0,0,0
78,12446,85,pair_015_n5_015_control,control,0,1,0,-1.1400000000000003,0.27925833333333333,199136,597408,7830,128,240509,0,0,0,0,0.0,0,0,0,0,0,0,12446,550,1936,574,0.01039273514487037,18441,0,0,0
79,12574,128,pair_006_n5_006_control,control,0,1,0,-0.2200000000000002,0.279045,201184,603552,7939,129,244697,0,0,0,0,0.0,0,0,0,0,0,0,12574,557,1962,581,0.010286976781648537,18727,0,0,0
80,12874,300,pair_013_n3_013_control,control,0,0,0,-0.05000000000000065,0.278545,205984,617952,8162,130,254769,0,0,0,0,0.0,0,0,0,0,0,0,12874,558,1965,582,0.01025211708137832,19428,0,0,0
81,12889,15,pair_014_n3_014_conflict,conflict,0,1,0,-0.99,0.27852,206224,618672,8177,131,255274,0,0,0,0,0.0,0,0,0,0,0,0,12889,563,1983,587,0.010240185841078787,19460,0,0,0
82,13033,144,pair_008_n5_008_control,control,0,1,0,0.7200000000000006,0.27827999999999997,208528,625584,8296,131,260168,0,0,0,0,0.0,0,0,0,0,0,0,13033,567,1999,591,0.010221161088044354,19775,0,0,0
83,13180,147,pair_011_n5_011_conflict,conflict,0,1,0,0.6900000000000013,0.278035,210880,632640,8406,132,265200,0,0,0,0,0.0,0,0,0,0,0,0,13180,574,2026,598,0.010200002473024133,20068,0,0,0
84,13429,249,pair_003_n3_003_control,control,0,1,0,-0.3799999999999999,0.27762,214864,644592,8598,132,273533,0,0,0,0,0.0,0,0,0,0,0,0,13429,583,2062,607,0.010040229395253914,20616,0,0,0
85,13725,296,pair_007_n3_007_conflict,conflict,0,1,0,-0.8000000000000007,0.27712666666666663,219600,658800,8841,133,283739,0,0,0,0,0.0,0,0,0,0,0,0,13725,595,2109,619,0.009865507686052443,21252,0,0,0
86,13740,15,pair_014_n3_014_control,control,0,1,0,-0.89,0.27710166666666664,219840,659520,8856,133,284259,0,0,0,0,0.0,0,0,0,0,0,0,13740,597,2114,622,0.009871916077696009,21278,0,0,0
87,13873,133,pair_010_n5_010_conflict,conflict,0,1,0,-1.0700000000000005,0.27688,221968,665904,8890,133,288868,0,0,0,0,0.0,0,0,0,0,0,0,13873,598,2117,623,0.009964149865830265,21519,0,0,0
88,14173,300,pair_003_n3_003_conflict,conflict,0,0,0,-4.3021142204224816e-16,0.27638,226768,680304,9133,133,299045,0,0,0,0,0.0,0,0,0,0,0,0,14173,612,2173,637,0.009993973168001853,22119,0,0,0
89,14473,300,pair_008_n3_008_control,control,0,0,0,-1.0500000000000012,0.27588,231568,694704,9133,133,309051,0,0,0,0,0.0,0,0,0,0,0,0,14473,612,2173,637,0.009903230809777805,22780,0,0,0
90,14773,300,pair_001_n5_001_control,control,0,0,0,0.0499999999999999,0.27538,236368,709104,9257,133,318565,0,0,0,0,0.0,0,0,0,0,0,0,14773,613,2177,638,0.009718596638350301,23364,0,0,0
